#AA
AA0 AX
AA1 AO
AA2 AA
#AE
AE0 AE
AE1 AE
AE2 AO
#AH
AH0 AA
AH1 AX
AH2 AX
#AO
AO0 AE
AO1 AX
AO2 AA
#AW
AW0 AW
AW1 AW
AW2 AW
#AY 
AY0 EY
AY1 AY
AY2 AY
B b
CH C
D d
DH T
#EH 
EH0 EH
EH1 EH
EH2 EH
#ER
ER0 r
ER1 r
ER2 r
#EY
EY0 EY
EY1 EY
EY2 EY
F f
G g
HH h
#IH
IH0 IH
IH1 IH
IH2 IH
#IY
IY0 IY
IY1 IY
IY2 IY
JH J
K k
L l
M m
N n
NG N
#OW
OW0 OW
OW1 OW
OW2 OW
#OY
OY0 OY
OY1 OY
OY2 OY
P p
R r
S s
SH S
T t
TH T
#UH 
UH0 UX
UH1 UX
UH2 UH
#UW
UW0 UW
UW1 UW
UW2 UW
V v
W w
Y y
Z z
ZH Z
